Créateur,Lien TikTok,Type de contenu,Points forts / Pertinence
"L'investisseur africain","https://www.tiktok.com/@linvestisseurafricainoff","Conseils d'investissements, finance personnelle","Expertise en finance accessible, fort engagement avec audience africaine francophone, crédibilité dans l'analyse de valeur"
"AutoPro.ci","https://www.tiktok.com/@autopro.ci","Automobile et astuces mécaniques","Ancrage local fort qui contextualise le produit dans la réalité ivoirienne, connectant avec le public régional. Gage de crédibilité"
"Bolid'Ivoire","https://www.tiktok.com/@bolidivoire2","Automobile, sports mécaniques, tests auto","Expertise dans l'automobile, capable de détailler les aspects techniques et esthétiques d'un véhicule innovant. Compte avec plus de 50K abonnés"
"Ivoire Transmission","https://www.tiktok.com/@ivoiretransmission","Automobile et astuces mécaniques","Ancrage local fort qui contextualise le produit dans la réalité ivoirienne, contenu orienté conseils pratiques et maintenance"
"Stoni","https://www.tiktok.com/@stoni_officiel","Vie quotidienne, culture locale, actualités","Image urbaine, ivoirien authentique et moderne, parfait pour positionner un SUV connecté. Forte influence sur la jeunesse ivoirienne"
"Edith Broutv","https://www.tiktok.com/@edithbroutv","Lifestyle, mode, beauté, tendances","Style élégant et créatif, idéal pour valoriser le design et le raffinement. Plus de 100K abonnés avec audience majoritairement féminine"
"Hassan Hayek Officiel","https://www.tiktok.com/@hassanhayekofficiel","Musique, lifestyle, culture pop, humour","Image moderne et décontractée, capable de mobiliser une audience jeune et connectée. Influenceur musical avec forte présence médiatique"
"Kevin Emian","https://www.tiktok.com/@kevinemian","Lifestyle, voyages, moments quotidiens","Image urbaine, ivoirien authentique et moderne, contenu axé sur le lifestyle premium et voyages"
"Cheick Aziz","https://www.tiktok.com/@cheickaziz003","Divertissement, culture locale, humour","Contenu engageant avec touche humoristique, forte connexion avec public jeune ivoirien"
"Je veux voiture","https://www.facebook.com/jeveuxvoiture","Annonces automobiles, conseils d'achat","Plateforme spécialisée dans l'achat-vente de véhicules en Côte d'Ivoire, audience ciblée d'acheteurs potentiels"
